Name,Time Stamp,Time,Interval,Unit,LBMP ($/MWHr)
NYISO_DAYAHEAD_CAPITL,181119,0000,60,kw,23.84
NYISO_DAYAHEAD_CENTRL,181119,0000,60,kw,23.18
NYISO_DAYAHEAD_DUNWOD,181119,0000,60,kw,24.47
NYISO_DAYAHEAD_GENESE,181119,0000,60,kw,23.21
NYISO_DAYAHEAD_HQ,181119,0000,60,kw,19.50
NYISO_DAYAHEAD_HUD_VL,181119,0000,60,kw,24.20
NYISO_DAYAHEAD_LONGIL,181119,0000,60,kw,27.08
NYISO_DAYAHEAD_MHK_VL,181119,0000,60,kw,22.70
NYISO_DAYAHEAD_MILLWD,181119,0000,60,kw,24.36
NYISO_DAYAHEAD_N.Y.C.,181119,0000,60,kw,24.77
NYISO_DAYAHEAD_NORTH,181119,0000,60,kw,19.64
NYISO_DAYAHEAD_NPX,181119,0000,60,kw,24.16
NYISO_DAYAHEAD_OH,181119,0000,60,kw,23.10
NYISO_DAYAHEAD_PJM,181119,0000,60,kw,23.82
NYISO_DAYAHEAD_WEST,181119,0000,60,kw,23.75
NYISO_DAYAHEAD_CAPITL,181119,0100,60,kw,23.03
NYISO_DAYAHEAD_CENTRL,181119,0100,60,kw,22.24
NYISO_DAYAHEAD_DUNWOD,181119,0100,60,kw,23.62
NYISO_DAYAHEAD_GENESE,181119,0100,60,kw,22.19
NYISO_DAYAHEAD_HQ,181119,0100,60,kw,18.73
NYISO_DAYAHEAD_HUD_VL,181119,0100,60,kw,23.36
NYISO_DAYAHEAD_LONGIL,181119,0100,60,kw,24.64
NYISO_DAYAHEAD_MHK_VL,181119,0100,60,kw,21.82
NYISO_DAYAHEAD_MILLWD,181119,0100,60,kw,23.51
NYISO_DAYAHEAD_N.Y.C.,181119,0100,60,kw,23.89
NYISO_DAYAHEAD_NORTH,181119,0100,60,kw,18.58
NYISO_DAYAHEAD_NPX,181119,0100,60,kw,23.34
NYISO_DAYAHEAD_OH,181119,0100,60,kw,22.06
NYISO_DAYAHEAD_PJM,181119,0100,60,kw,22.90
NYISO_DAYAHEAD_WEST,181119,0100,60,kw,22.69
NYISO_DAYAHEAD_CAPITL,181119,0200,60,kw,22.99
NYISO_DAYAHEAD_CENTRL,181119,0200,60,kw,22.20
NYISO_DAYAHEAD_DUNWOD,181119,0200,60,kw,23.62
NYISO_DAYAHEAD_GENESE,181119,0200,60,kw,22.12
NYISO_DAYAHEAD_HQ,181119,0200,60,kw,18.71
NYISO_DAYAHEAD_HUD_VL,181119,0200,60,kw,23.36
NYISO_DAYAHEAD_LONGIL,181119,0200,60,kw,24.55
NYISO_DAYAHEAD_MHK_VL,181119,0200,60,kw,21.78
NYISO_DAYAHEAD_MILLWD,181119,0200,60,kw,23.52
NYISO_DAYAHEAD_N.Y.C.,181119,0200,60,kw,23.91
NYISO_DAYAHEAD_NORTH,181119,0200,60,kw,18.58
NYISO_DAYAHEAD_NPX,181119,0200,60,kw,23.32
NYISO_DAYAHEAD_OH,181119,0200,60,kw,22.01
NYISO_DAYAHEAD_PJM,181119,0200,60,kw,22.84
NYISO_DAYAHEAD_WEST,181119,0200,60,kw,22.62
NYISO_DAYAHEAD_CAPITL,181119,0300,60,kw,21.76
NYISO_DAYAHEAD_CENTRL,181119,0300,60,kw,21.04
NYISO_DAYAHEAD_DUNWOD,181119,0300,60,kw,22.29
NYISO_DAYAHEAD_GENESE,181119,0300,60,kw,21.00
NYISO_DAYAHEAD_HQ,181119,0300,60,kw,18.70
NYISO_DAYAHEAD_HUD_VL,181119,0300,60,kw,22.04
NYISO_DAYAHEAD_LONGIL,181119,0300,60,kw,23.32
NYISO_DAYAHEAD_MHK_VL,181119,0300,60,kw,20.76
NYISO_DAYAHEAD_MILLWD,181119,0300,60,kw,22.18
NYISO_DAYAHEAD_N.Y.C.,181119,0300,60,kw,22.54
NYISO_DAYAHEAD_NORTH,181119,0300,60,kw,18.48
NYISO_DAYAHEAD_NPX,181119,0300,60,kw,22.04
NYISO_DAYAHEAD_OH,181119,0300,60,kw,20.88
NYISO_DAYAHEAD_PJM,181119,0300,60,kw,21.60
NYISO_DAYAHEAD_WEST,181119,0300,60,kw,21.47
NYISO_DAYAHEAD_CAPITL,181119,0400,60,kw,23.84
NYISO_DAYAHEAD_CENTRL,181119,0400,60,kw,22.94
NYISO_DAYAHEAD_DUNWOD,181119,0400,60,kw,24.44
NYISO_DAYAHEAD_GENESE,181119,0400,60,kw,22.70
NYISO_DAYAHEAD_HQ,181119,0400,60,kw,19.46
NYISO_DAYAHEAD_HUD_VL,181119,0400,60,kw,24.15
